runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T161133Z_f0y8BR,a9a,1,0.001,0.2,1,32,4096,1,1,512,0.7442769175299779,0.6455379574795548
0827T154256Z_rLIlob,a9a,5,0.001,0.1,4,2,4096,1,1,512,0.3527073720998352,0.3527073720998352
0827T160217Z_LqaRge,a9a,0,0.001,0.002,256,128,4096,1,1,512,0.6999246262689827,0.6999246262689827
0827T160128Z_ClOihb,a9a,0,0.001,0.001,256,8,4096,1,1,512,0.7796386905142906,0.7796386905142906
0827T153326Z_hCa999,a9a,0,0.001,0.01,1,1,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T143204Z_jOUa9U,a9a,2,0.001,0.01,8,1,4096,1,1,512,0.361164265261862,0.3552259502235276
0827T154806Z_bm07dw,a9a,5,0.001,0.001,1,1,4096,1,1,512,0.777914316671372,0.777914316671372
0827T154247Z_LvjDfK,a9a,5,0.001,0.02,4,128,4096,1,1,512,0.3971187186408842,0.3971187186408842
0827T154146Z_Zbvi3e,a9a,5,0.001,1.0,2,4,4096,1,1,512,0.6651613586978138,0.6130907707181213
0827T151522Z_RqvOcj,a9a,0,0.001,0.02,1,2,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T162812Z_aWCtHu,a9a,2,0.001,0.01,2048,32,4096,1,1,512,0.3579583435033252,0.3579583435033252
0827T154409Z_cpKIdE,a9a,5,0.001,0.01,8,128,4096,1,1,512,0.4610450009886762,0.4610450009886762
0827T160246Z_qVfu0g,a9a,0,0.001,0.001,2048,1,4096,1,1,512,0.7796697119105747,0.7796697119105747
0827T154507Z_RhC1FE,a9a,5,0.001,10.0,8,1,4096,1,1,512,4.387793644905821,1.1451013886529824
0827T153403Z_Shc3N5,a9a,1,0.001,0.01,4,1,4096,1,1,512,0.4859547353086813,0.4331330025837414
0827T154332Z_Dc6ctc,a9a,5,0.001,5.0,4,8,4096,1,1,512,2.558717753568304,1.1451013886529824
0827T145257Z_0HJ5lO,a9a,1,0.001,0.02,1,2,4096,1,1,512,1.9611381423155376,1.0917267710533416
0827T162247Z_VJox5h,a9a,2,0.001,0.001,8,1,4096,1,1,512,0.3488700476157736,0.3488700476157736
0827T153302Z_hycA1N,a9a,5,0.001,0.02,1,1,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T153940Z_juccHe,a9a,5,0.001,0.02,1,4,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T154238Z_XaB7vm,a9a,5,0.001,0.01,4,32,4096,1,1,512,0.4595050406615169,0.4595050406615169
0827T154510Z_Wutmbs,a9a,5,0.001,10.0,8,8,4096,1,1,512,2.571804225352846,1.1451013886529824
0827T155847Z_hX3DFL,a9a,5,0.001,0.02,2048,256,4096,1,1,512,0.3983162500724557,0.3983162500724557
0827T154954Z_cUrQjH,a9a,5,0.001,0.02,8,128,4096,1,1,512,0.3975041359184932,0.3975041359184932
0827T162242Z_ncdx1Q,a9a,2,0.001,0.001,1,256,4096,1,1,512,0.6067282943053152,0.6067282943053152
0827T155055Z_X5tuPq,a9a,5,0.001,5.0,256,32,4096,1,1,512,2.292403837143781,1.145101388652984
0827T154353Z_V2IAvX,a9a,5,0.001,0.002,8,8,4096,1,1,512,0.6984636258858262,0.6984636258858262
0827T155943Z_W9xSD3,a9a,0,0.001,2.0,1,1,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T153945Z_aWIXqT,a9a,5,0.001,0.02,1,256,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T153943Z_8OHvr4,a9a,5,0.001,0.02,1,64,4096,1,1,512,0.4035973378482793,0.4035973378482793
